Date,Open,High,Low,Close,Adj Close,Volume
2015-04-20,28.0,30.030001,27.0,30.030001,18.337988,35100
2015-04-21,30.42,30.9,29.049999,30.049999,18.350203,49400
2015-04-22,31.549999,34.630001,29.549999,30.27,18.484545,218300
2015-04-23,30.0,30.549999,29.950001,30.15,18.411266,307900
2015-04-24,30.02,30.309999,28.6,28.6,17.46475,1920500
2015-04-27,28.469999,29.5,27.5,27.51,16.799139,3688300
2015-04-28,27.23,29.889999,27.09,29.48,18.002129,6802300
2015-04-29,29.780001,30.719999,29.610001,30.32,18.515078,2839800
2015-04-30,30.18,30.32,29.700001,30.08,18.368521,2204900
2015-05-01,30.01,30.32,29.549999,29.969999,18.30135,1281900
2015-05-04,29.389999,30.389999,29.26,30.16,18.417376,1716800
2015-05-05,29.75,30.65,29.75,30.24,18.466225,1280400
2015-05-06,30.15,30.299999,28.43,28.559999,17.440323,1775600
2015-05-07,28.219999,28.700001,27.5,27.620001,16.86631,2251900
2015-05-08,27.75,27.99,27.065001,27.65,16.884626,1405600
2015-05-11,27.41,27.6,26.85,27.41,16.738071,1376600
2015-05-12,26.84,28.219999,26.799999,28.110001,17.165529,1140600
2015-05-13,27.959999,28.1,27.58,27.799999,16.976225,1052900
2015-05-14,27.66,27.959999,27.51,27.809999,16.98233,1047000
2015-05-15,27.700001,27.85,27.5,27.530001,16.811348,553300
2015-05-18,27.129999,27.5,26.790001,26.860001,16.402212,866100
2015-05-19,26.76,26.860001,26.17,26.219999,16.011393,1405300
2015-05-20,26.09,26.417999,25.65,25.690001,15.687743,834500
2015-05-21,25.530001,26.549999,25.34,26.5,16.182375,1425900
2015-05-22,26.16,26.92,26.09,26.780001,16.353359,923500
2015-05-26,26.49,27.0,26.23,26.49,16.176264,685300
2015-05-27,26.01,26.41,25.91,26.129999,15.956431,872900
2015-05-28,26.15,26.24,25.879999,25.98,15.864832,627500
2015-05-29,25.85,26.120001,25.75,26.049999,15.907578,941300
2015-06-01,25.799999,26.200001,25.65,25.860001,15.791554,634100
2015-06-02,25.77,26.82,25.68,26.42,16.133524,1034900
2015-06-03,26.129999,26.379999,25.879999,26.0,15.877045,767300
2015-06-04,25.67,26.01,25.4,25.450001,15.541186,828200
2015-06-05,25.77,25.77,25.389999,25.52,15.583935,696200
2015-06-08,25.5,25.75,25.5,25.6,15.632781,780300
2015-06-09,25.65,25.67,25.139999,25.49,15.56561,1168100
2015-06-10,25.58,25.624001,25.309999,25.389999,15.504545,916800
2015-06-11,25.379999,25.860001,25.360001,25.84,15.779341,909600
2015-06-12,26.030001,26.379999,25.9,26.120001,15.950325,775300
2015-06-15,26.01,26.120001,25.5,25.68,15.681637,813800
2015-06-16,25.549999,26.27,25.43,26.17,15.980859,1090200
2015-06-17,25.969999,26.459999,25.934999,26.33,16.078562,947800
