Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.7,3.99,3.7,3.99,3.739041,4000
2010-01-05,3.88,3.88,3.76,3.76,3.523506,800
2010-01-06,3.76,3.76,3.62,3.67,3.439167,5600
2010-01-07,3.67,3.74,3.61,3.61,3.382941,8400
2010-01-08,3.62,3.62,3.62,3.62,3.392312,300
2010-01-11,3.62,3.62,3.31,3.5,3.27986,8000
2010-01-12,3.39,3.65,3.35,3.65,3.420425,18000
2010-01-13,3.75,3.84,3.5,3.63,3.401684,27700
2010-01-14,3.62,3.67,3.62,3.67,3.439167,7600
2010-01-15,3.67,3.85,3.62,3.77,3.532878,7800
2010-01-19,3.7,3.77,3.66,3.73,3.495394,13100
2010-01-20,3.72,3.8,3.44,3.49,3.270489,27400
2010-01-21,3.7,3.7,3.44,3.54,3.317344,2800
2010-01-22,3.35,3.4,3.35,3.37,3.158036,1600
2010-01-25,3.51,3.51,3.48,3.5,3.27986,5900
2010-01-26,3.45,3.5,3.45,3.5,3.27986,2600
2010-01-27,3.5,3.57,3.43,3.43,3.214263,6400
2010-01-28,3.4,3.45,3.4,3.45,3.233005,2400
2010-01-29,3.5,3.53,3.5,3.53,3.307973,2600
2010-02-01,3.51,3.87,3.37,3.49,3.270489,37700
2010-02-02,3.37,3.54,3.37,3.49,3.270489,8600
2010-02-03,3.4,3.49,3.4,3.49,3.270489,3200
2010-02-04,3.5,3.6,3.5,3.6,3.37357,11000
2010-02-05,3.6,3.69,3.6,3.69,3.45791,53700
2010-02-08,3.71,3.71,3.67,3.7,3.46728,500
2010-02-09,3.77,4.03,3.71,3.71,3.476652,18600
2010-02-10,3.71,3.71,3.71,3.71,3.476652,0
2010-02-11,3.64,3.64,3.64,3.64,3.411055,400
2010-02-12,3.51,3.51,3.5,3.5,3.27986,3900
2010-02-16,3.69,3.69,3.61,3.61,3.382941,1000
2010-02-17,3.61,3.65,3.54,3.65,3.420425,3100
2010-02-18,3.65,3.65,3.65,3.65,3.420425,0
2010-02-19,3.69,3.74,3.69,3.71,3.476652,2200
2010-02-22,3.63,3.64,3.5,3.63,3.401684,2200
2010-02-23,3.62,3.62,3.5,3.56,3.336086,1800
2010-02-24,3.5,3.57,3.38,3.52,3.298602,3900
2010-02-25,3.43,3.6,3.19,3.48,3.261118,6400
2010-02-26,3.48,3.54,3.34,3.54,3.317344,7500
2010-03-01,3.53,3.53,3.35,3.43,3.214263,5300
2010-03-02,3.3,3.41,3.2,3.26,3.054955,17000
2010-03-03,3.29,3.56,3.13,3.48,3.28632,20900
2010-03-04,3.54,3.93,3.54,3.83,3.616841,30500
2010-03-05,3.84,3.91,3.58,3.68,3.475189,24100
2010-03-08,3.5,3.57,3.29,3.42,3.229659,50100
2010-03-09,3.42,3.47,3.22,3.31,3.125781,12400
2010-03-10,3.34,3.57,3.33,3.57,3.371311,9700
2010-03-11,3.54,3.6,3.25,3.6,3.399641,21200
2010-03-12,3.58,3.94,3.45,3.88,3.664057,31400
2010-03-15,3.85,3.92,3.58,3.73,3.522406,26900
2010-03-16,3.5,3.55,3.39,3.52,3.324093,22400
2010-03-17,3.4,4.0,3.36,3.97,3.749049,43500
2010-03-18,3.65,3.85,3.52,3.75,3.541293,4000
2010-03-19,3.73,4.1,3.73,4.1,3.871813,14300
2010-03-22,4.08,4.08,3.78,3.78,3.569623,1100
2010-03-23,3.84,3.85,3.52,3.61,3.409085,3500
2010-03-24,3.47,3.74,3.46,3.7,3.494076,3600
2010-03-25,3.92,3.92,3.81,3.81,3.597953,600
2010-03-26,3.9,3.92,3.67,3.84,3.626284,15200
2010-03-29,3.54,3.61,3.5,3.55,3.352424,2200
2010-03-30,3.62,3.65,3.51,3.51,3.31465,2300
2010-03-31,3.81,3.81,3.81,3.81,3.597953,200
2010-04-01,3.63,3.89,3.63,3.73,3.522406,1400
2010-04-05,3.54,3.66,3.52,3.64,3.437415,13800
2010-04-06,3.52,3.62,3.5,3.62,3.418528,4000
2010-04-07,3.52,3.65,3.4,3.57,3.371311,27300
2010-04-08,3.46,3.52,3.43,3.5,3.305207,3000
2010-04-09,3.49,3.64,3.49,3.59,3.390198,3700
2010-04-12,3.4,3.61,3.4,3.53,3.333537,1100
2010-04-13,3.37,3.9,3.37,3.6,3.399641,28000
2010-04-14,3.74,3.86,3.74,3.81,3.597953,10900
2010-04-15,3.9,4.05,3.67,3.8,3.58851,14300
2010-04-16,3.94,3.94,3.92,3.94,3.720718,1700
2010-04-19,3.89,3.89,3.75,3.75,3.541293,10700
2010-04-20,3.73,3.76,3.64,3.64,3.437415,4800
2010-04-21,3.6,3.6,3.43,3.45,3.257989,8700
2010-04-22,3.43,3.55,3.43,3.46,3.267433,40200
2010-04-23,3.45,3.48,3.28,3.48,3.28632,42800
2010-04-26,3.5,3.5,3.25,3.27,3.088007,18600
2010-04-27,3.31,3.31,3.07,3.17,2.993573,15100
2010-04-28,3.2,3.23,3.1,3.2,3.021903,26500
2010-04-29,3.2,3.6,3.16,3.51,3.31465,48000
2010-04-30,3.48,3.6,3.48,3.6,3.399641,33900
2010-05-03,3.6,3.85,3.57,3.7,3.494076,29400
2010-05-04,3.68,3.68,3.31,3.44,3.248546,16100
2010-05-05,3.41,3.41,3.33,3.33,3.144668,2300
2010-05-06,3.31,3.75,3.3,3.74,3.531849,29900
2010-05-07,3.75,3.75,3.31,3.54,3.342981,16500
2010-05-10,3.53,3.53,3.36,3.36,3.172998,4800
2010-05-11,3.29,3.46,3.22,3.4,3.210773,6000
2010-05-12,3.33,3.5,3.33,3.38,3.215529,1500
2010-05-13,3.5,3.52,3.38,3.38,3.215529,6000
2010-05-14,3.43,3.51,3.42,3.5,3.32969,1000
2010-05-17,3.55,3.55,3.5,3.5,3.32969,700
2010-05-18,3.5,3.54,3.35,3.43,3.263096,3100
2010-05-19,3.45,3.54,3.29,3.37,3.206016,6000
