Date,Open,High,Low,Close,Adj Close,Volume
2010-11-01,50.389999,50.439999,49.919998,50.23,33.398575,19200
2010-11-02,50.830002,50.860001,50.650002,50.830002,33.797527,41200
2010-11-03,51.009998,51.360001,50.66,51.360001,34.149933,76500
2010-11-04,52.529999,54.18,51.599998,52.34,34.801552,90700
2010-11-05,52.139999,52.27,52.0,52.209999,34.715107,89500
2010-11-08,52.080002,52.509998,51.669998,51.919998,34.522285,92600
2010-11-09,52.09,52.09,51.0,51.0,33.910568,70100
2010-11-10,51.18,51.240002,50.610001,51.169998,34.02359,66500
2010-11-11,50.68,50.68,50.310001,50.529999,33.598049,26500
2010-11-12,50.470001,50.470001,49.75,49.959999,33.219051,44200
2010-11-15,50.209999,50.25,49.75,49.75,33.079422,29000
2010-11-16,49.52,49.52,48.5,48.77,32.427803,78400
2010-11-17,48.900002,49.09,48.810001,48.880001,32.500946,37500
2010-11-18,49.560001,49.720001,49.450001,49.639999,33.006275,25000
2010-11-19,49.099998,49.209999,48.77,49.200001,32.713726,20200
2010-11-22,48.799999,48.990002,48.25,48.810001,32.454407,32800
2010-11-23,48.029999,48.029999,47.48,47.66,31.689753,44600
2010-11-24,48.360001,48.419998,48.150002,48.41,32.188438,39300
2010-11-26,47.73,47.849998,47.630001,47.709999,31.723,14400
2010-11-29,47.619999,47.830002,47.279999,47.810001,31.78949,40400
2010-11-30,47.27,47.700001,47.169998,47.459999,31.55677,18200
2010-12-01,48.529999,48.740002,48.279999,48.669998,32.361313,19100
2010-12-02,48.73,49.459999,48.73,49.450001,32.879944,25900
2010-12-03,49.240002,49.66,49.150002,49.610001,32.986328,10700
2010-12-06,49.259998,49.5,49.150002,49.48,32.899891,29900
2010-12-07,49.990002,49.990002,49.279999,49.279999,32.766911,35000
2010-12-08,49.290001,49.41,48.970001,49.25,32.746964,20600
2010-12-09,49.389999,49.389999,49.009998,49.220001,32.72702,16400
2010-12-10,49.259998,49.419998,49.119999,49.419998,32.859993,44700
2010-12-13,49.709999,49.970001,49.540001,49.66,33.019577,74600
2010-12-14,50.389999,50.52,49.82,49.900002,33.179153,30300
2010-12-15,49.790001,49.860001,49.25,49.330002,32.800159,27300
2010-12-16,49.459999,49.459999,49.080002,49.419998,32.859993,15100
2010-12-17,49.32,49.32,48.970001,49.029999,32.600685,10300
2010-12-20,49.419998,49.419998,48.98,49.200001,32.713726,134400
2010-12-21,49.82,49.82,49.529999,49.619999,32.992981,16000
2010-12-22,49.580002,49.619999,49.5,49.619999,33.292892,11000
2010-12-23,50.169998,50.169998,49.540001,49.689999,33.339867,270200
2010-12-27,49.689999,49.799999,49.470001,49.790001,33.406967,40200
2010-12-28,49.939999,49.939999,49.639999,49.700001,33.346577,22500
2010-12-29,50.360001,50.360001,50.099998,50.240002,33.708889,30200
2010-12-30,50.259998,50.279999,50.099998,50.279999,33.735729,20400
2010-12-31,50.279999,50.610001,50.18,50.599998,33.950432,14900
2011-01-03,51.23,51.23,50.759998,50.91,34.158436,73100
2011-01-04,51.360001,51.360001,50.75,51.080002,34.272495,37200
2011-01-05,51.040001,51.34,51.0,51.299999,34.420109,24200
2011-01-06,51.27,51.27,50.580002,50.759998,34.057789,25300
2011-01-07,51.049999,51.049999,50.25,50.59,33.943718,24300
2011-01-10,50.439999,50.439999,50.0,50.380001,33.80283,33900
2011-01-11,50.77,50.77,50.459999,50.560001,33.923595,25200
2011-01-12,51.290001,51.369999,51.0,51.34,34.446949,26200
2011-01-13,52.040001,52.040001,51.279999,51.349998,34.453659,23300
2011-01-14,51.25,51.5,51.139999,51.450001,34.52076,25000
2011-01-18,51.68,51.68,51.240002,51.419998,34.500614,40800
2011-01-19,51.82,51.82,51.02,51.200001,34.353012,56000
2011-01-20,51.0,51.0,50.34,50.650002,33.983986,20700
2011-01-21,51.040001,51.040001,50.5,50.59,33.943718,16400
2011-01-24,50.759998,51.009998,50.5,50.919998,34.165142,36400
2011-01-25,50.799999,50.900002,50.490002,50.900002,34.151726,23400
2011-01-26,51.189999,51.189999,50.900002,51.119999,34.299335,14800
2011-01-27,50.98,50.98,50.630001,50.84,34.111469,132700
2011-01-28,50.84,50.84,49.689999,49.82,33.427097,46600
2011-01-31,50.669998,50.669998,49.900002,50.080002,33.601547,12500
2011-02-01,50.639999,50.970001,50.360001,50.860001,34.124878,54100
2011-02-02,51.209999,51.209999,50.630001,50.82,34.098045,16200
2011-02-03,51.09,51.09,50.610001,50.990002,34.212116,28600
2011-02-04,51.209999,51.209999,50.599998,51.0,34.218822,24500
2011-02-07,51.5,51.5,50.669998,51.5,34.554291,22500
2011-02-08,51.380001,51.380001,50.5,50.880001,34.138306,17700
2011-02-09,50.82,50.82,49.91,50.130001,33.635078,26100
2011-02-10,50.189999,50.360001,49.220001,49.689999,33.339867,21400
2011-02-11,50.27,50.27,49.0,49.650002,33.31303,15800
2011-02-14,50.099998,50.099998,49.810001,49.970001,33.527737,18300
2011-02-15,49.779999,49.799999,49.540001,49.599998,33.27948,23700
2011-02-16,49.630001,50.25,49.630001,50.16,33.655224,24000
2011-02-17,50.25,50.549999,50.130001,50.5,33.883343,14000
2011-02-18,50.68,50.700001,50.400002,50.610001,33.957146,8500
2011-02-22,49.889999,49.889999,49.099998,49.189999,33.004391,26400
2011-02-23,49.189999,49.529999,49.0,49.380001,33.131866,14600
2011-02-24,49.580002,49.580002,48.900002,49.360001,33.11845,12800
2011-02-25,49.959999,50.189999,49.880001,50.18,33.668644,18300
2011-02-28,50.43,50.740002,50.43,50.650002,33.983986,12500
2011-03-01,51.029999,51.029999,50.130001,50.25,33.715599,85300
2011-03-02,50.41,50.599998,50.200001,50.369999,33.796116,163500
2011-03-03,50.889999,51.150002,50.650002,51.099998,34.285908,55600
2011-03-04,51.16,51.169998,50.619999,50.919998,34.165142,63800
2011-03-07,51.5,51.5,50.419998,50.52,33.896767,16500
2011-03-08,50.619999,50.919998,50.619999,50.759998,34.057789,13400
2011-03-09,51.0,51.0,50.689999,50.939999,34.178562,16500
