Date,Open,High,Low,Close,Adj Close,Volume
2019-04-17,0.7,0.7,0.53,0.56,0.56,1500
2019-04-22,0.56,0.56,0.56,0.56,0.56,1000
2019-04-23,0.54,0.54,0.4775,0.51,0.51,1038456
2019-04-24,0.4775,0.5,0.4775,0.5,0.5,14985
2019-04-29,0.52,0.52,0.52,0.52,0.52,400
2019-04-30,0.5124,0.5124,0.5124,0.5124,0.5124,500
2019-05-02,0.53,0.53,0.53,0.53,0.53,400
2019-05-03,0.53,0.53,0.5274,0.5274,0.5274,6000
2019-05-06,0.53,0.53,0.53,0.53,0.53,100
2019-05-09,0.56,0.56,0.56,0.56,0.56,1000
2019-05-14,0.5547,0.56,0.53,0.56,0.56,336982
2019-05-15,0.57,0.57,0.57,0.57,0.57,500
2019-05-16,0.58,0.5829,0.47,0.55,0.55,1900
2019-05-17,0.54,0.56498,0.4401,0.53,0.53,45900
2019-05-20,0.689,0.689,0.6,0.6,0.6,600
2019-05-21,0.6,0.6,0.53,0.55,0.55,46250
2019-05-23,0.57,0.57,0.55,0.55,0.55,500
2019-05-24,0.55,0.55,0.55,0.55,0.55,225
2019-05-28,0.55,0.55,0.55,0.55,0.55,1008
2019-05-30,0.54,0.55,0.54,0.55,0.55,2600
2019-06-04,0.55,0.57,0.5475,0.55,0.55,6210
2019-06-05,0.55,0.55,0.5473,0.55,0.55,700
2019-06-06,0.54,0.5425,0.5,0.5,0.5,2900
2019-06-07,0.5,0.5,0.5,0.5,0.5,5700
2019-06-25,0.48,0.48,0.425,0.47,0.47,980280
2019-07-01,0.4691,0.47,0.4691,0.47,0.47,1800
2019-07-02,0.46,0.46,0.46,0.46,0.46,300
2019-07-03,0.47,0.48,0.46,0.46,0.46,6300
2019-07-05,0.46,0.46,0.46,0.46,0.46,300
2019-07-08,0.5,0.5,0.46,0.46,0.46,5000
2019-07-09,0.46,0.46,0.45,0.45,0.45,30000
2019-07-10,0.45,0.45,0.45,0.45,0.45,2500
2019-07-11,0.44,0.4401,0.42,0.44,0.44,14200
2019-07-12,0.44,0.44,0.426,0.426,0.426,5500
2019-07-15,0.5,0.5,0.5,0.5,0.5,1000
2019-07-16,0.48,0.49,0.48,0.48579,0.48579,3200
2019-07-17,0.5,0.5,0.5,0.5,0.5,2300
2019-07-19,0.47,0.47,0.45,0.45,0.45,4400
2019-07-22,0.44,0.44,0.42,0.44,0.44,30800
2019-07-23,0.44,0.44,0.44,0.44,0.44,300
2019-07-25,0.4401,0.4423,0.44,0.44,0.44,4200
2019-07-26,0.44,0.44,0.44,0.44,0.44,300
2019-07-30,0.44,0.44,0.44,0.44,0.44,300
2019-07-31,0.44,0.4401,0.44,0.44,0.44,32900
2019-08-01,0.45,0.45,0.45,0.45,0.45,200
2019-08-02,0.44,0.44,0.43,0.44,0.44,13800
2019-08-08,0.45,0.4501,0.45,0.4501,0.4501,400
2019-08-15,0.43,0.43,0.43,0.43,0.43,300
2019-08-19,0.43,0.43,0.43,0.43,0.43,300
2019-08-20,0.43,0.43,0.43,0.43,0.43,300
2019-08-28,0.45,0.45,0.45,0.45,0.45,10000
2019-08-29,0.45,0.5,0.45,0.5,0.5,940790
2019-08-30,0.45,0.5,0.43,0.5,0.5,36500
2019-09-03,0.5,0.5,0.5,0.5,0.5,10000
2019-09-04,0.5,0.5,0.5,0.5,0.5,10100
2019-09-05,0.5,0.5,0.4999,0.5,0.5,11202
2019-09-12,0.475,0.5,0.45,0.5,0.5,176537
2019-09-19,0.5,0.5,0.5,0.5,0.5,100
2019-09-23,0.497,0.5,0.49,0.49,0.49,16900
2019-09-24,0.45,0.5,0.45,0.49,0.49,5200
2019-09-27,0.5,0.5,0.4878,0.5,0.5,15190
2019-10-11,0.49,0.5,0.49,0.5,0.5,34992
2019-10-14,0.4991,0.5,0.49,0.4999,0.4999,18600
2019-10-15,0.55,0.7499,0.52,0.69,0.69,7600
2019-10-17,0.55,0.5968,0.55,0.59,0.59,11064
2019-10-22,0.6,0.6,0.57,0.57,0.57,500
2019-10-23,0.56,0.59,0.56,0.59,0.59,2200
2019-10-24,0.58,0.58,0.58,0.58,0.58,200
2019-10-25,0.57,0.57,0.57,0.57,0.57,300
2019-10-28,0.57,0.57,0.57,0.57,0.57,263
2019-10-29,0.57,0.57,0.57,0.57,0.57,300
2019-10-31,0.58,0.58,0.58,0.58,0.58,200
2019-11-04,0.56,0.5999,0.5476,0.5999,0.5999,24508
2019-11-05,0.57,0.5999,0.57,0.5999,0.5999,1200
2019-11-06,0.56,0.6,0.5575,0.5999,0.5999,9137
2019-11-08,0.54,0.58,0.53985,0.58,0.58,7137
2019-11-12,0.56,0.5999,0.56,0.5999,0.5999,650
2019-11-18,0.5565,0.5999,0.5565,0.5999,0.5999,1140
2019-11-19,0.59,0.59,0.59,0.59,0.59,100
2019-11-25,0.59,0.59,0.59,0.59,0.59,100
2019-12-10,0.55,0.61,0.55,0.55,0.55,2200
2019-12-11,0.6,0.6,0.6,0.6,0.6,1000
2019-12-12,0.59,0.59,0.59,0.59,0.59,1000
2019-12-16,0.58,0.58,0.58,0.58,0.58,15000
2019-12-19,0.5,0.6,0.5,0.6,0.6,5490
2019-12-20,0.59,0.59,0.59,0.59,0.59,100
