Date,Open,High,Low,Close,Adj Close,Volume
2016-03-02,51.73,51.900002,51.599998,51.900002,45.041595,400
2016-03-03,52.970001,52.970001,52.029999,52.749001,45.778408,9400
2016-03-04,53.279999,53.537998,52.799999,53.25,46.213203,17400
2016-03-07,53.09,53.48,52.759998,53.25,46.213203,20400
2016-03-08,53.299999,53.299999,52.52,52.52,45.579666,10600
2016-03-09,52.830002,53.209999,52.830002,52.950001,45.952843,7500
2016-03-10,53.619999,53.619999,52.609001,52.900002,45.909454,16400
2016-03-11,54.080002,54.299999,53.812,54.299999,47.124451,10200
2016-03-14,54.279999,54.279999,53.860001,54.039001,46.897938,4500
2016-03-15,53.389999,53.389999,53.094002,53.257,46.219276,12300
2016-03-16,53.27,54.099998,53.099998,54.09,46.9422,7600
2016-03-17,54.400002,54.990002,54.220001,54.91,47.653847,18600
2016-03-18,55.240002,55.240002,54.720001,54.82,47.575729,20300
2016-03-21,55.259998,55.259998,54.360001,54.599998,47.458393,18600
2016-03-22,53.779999,54.41,53.779999,54.299999,47.197632,21200
2016-03-23,54.439999,54.439999,53.650002,53.650002,46.632652,37500
2016-03-24,53.200001,53.200001,52.82,53.123001,46.174576,10200
2016-03-28,53.52,53.535999,52.860001,53.535999,46.533566,24500
2016-03-29,53.360001,54.037998,53.009998,53.994999,46.932518,13700
2016-03-30,54.66,54.833,54.494999,54.560001,47.423626,11300
2016-03-31,54.57,54.57,54.110001,54.130001,47.049866,17500
2016-04-01,53.490002,53.754002,53.063,53.754002,46.723049,10200
2016-04-04,53.849998,53.849998,53.410999,53.410999,46.424919,14000
2016-04-05,52.720001,52.720001,52.289001,52.299999,45.459229,25100
2016-04-06,52.59,53.080002,52.277,53.049999,46.111122,6200
2016-04-07,52.740002,52.740002,52.075001,52.132,45.313202,10700
2016-04-08,53.049999,53.299999,53.049999,53.16,46.206745,5800
2016-04-11,53.880001,53.880001,53.52,53.548,46.543995,7600
2016-04-12,53.709999,54.349998,53.709999,54.34,47.232403,15000
2016-04-13,55.369999,55.369999,55.080002,55.279999,48.049454,17500
2016-04-14,55.599998,55.599998,55.290001,55.404999,48.158096,11200
2016-04-15,55.540001,55.540001,55.195,55.310001,48.075531,19900
2016-04-18,55.43,55.756001,55.150002,55.669998,48.388439,17200
2016-04-19,56.709999,56.709999,56.41,56.666,49.254162,15700
2016-04-20,56.830002,56.900002,56.401001,56.785,49.35759,9200
2016-04-21,56.740002,56.757999,56.279999,56.279999,48.918644,6100
2016-04-22,56.25,56.48,56.150002,56.310001,48.944717,5200
2016-04-25,56.259998,56.259998,55.841,55.93,48.614422,24400
2016-04-26,56.509998,56.509998,56.27,56.380001,49.005566,17500
2016-04-27,56.32,56.59,56.150002,56.52,49.127258,7800
2016-04-28,56.150002,56.429001,55.900002,55.91,48.59705,10900
2016-04-29,55.810001,55.863998,55.599998,55.639999,48.362358,17500
2016-05-02,55.950001,56.073002,55.77,55.880001,48.570976,24400
2016-05-03,55.599998,55.599998,54.75,54.75,47.588768,26600
2016-05-04,54.5,54.5,54.0,54.139999,47.058556,22000
2016-05-05,54.119999,54.169998,53.82,53.880001,46.832565,10600
2016-05-06,53.669998,54.035999,53.618,54.009998,46.945568,23300
2016-05-09,54.150002,54.150002,53.68,53.720001,46.693501,10300
2016-05-10,54.240002,54.490002,54.050999,54.490002,47.362774,23500
2016-05-11,54.299999,54.439999,54.060001,54.060001,46.989025,22700
2016-05-12,54.720001,54.720001,54.0,54.220001,47.128101,6400
2016-05-13,53.849998,53.849998,53.303001,53.400002,46.415352,18800
2016-05-16,53.790001,54.139999,53.685001,53.990002,46.928177,29200
2016-05-17,53.950001,54.139999,53.639999,53.789001,46.753475,14300
2016-05-18,53.73,54.119999,53.5,53.668999,46.649162,24100
2016-05-19,53.68,53.68,53.110001,53.389999,46.406658,22900
2016-05-20,53.698002,53.869999,53.639,53.740002,46.710888,5900
2016-05-23,53.779999,53.779999,53.529999,53.720001,46.693501,6700
2016-05-24,54.02,54.470001,54.02,54.43,47.310623,9800
2016-05-25,55.07,55.18,54.990002,55.110001,47.901684,22500
2016-05-26,55.290001,55.360001,55.200001,55.200001,47.979916,12700
2016-05-27,55.389999,55.389999,55.07,55.169998,47.953838,32200
2016-05-31,55.450001,55.450001,54.708,54.889999,47.710461,16900
2016-06-01,54.709999,54.775002,54.376999,54.775002,47.6105,8000
2016-06-02,54.700001,54.869999,54.540001,54.84,47.666992,12500
2016-06-03,55.0,55.369999,54.82,55.279999,48.049454,19400
2016-06-06,55.650002,55.790001,55.43,55.75,48.457973,31400
2016-06-07,56.0,56.330002,55.991001,56.162998,48.816952,36900
2016-06-08,56.580002,56.580002,56.228001,56.349998,48.979488,22200
2016-06-09,56.0,56.0,55.419998,55.66,48.379745,21400
2016-06-10,55.259998,55.259998,53.787998,54.009998,46.945568,22000
2016-06-13,53.529999,53.73,53.119999,53.119999,46.171974,28600
2016-06-14,52.349998,52.400002,51.700001,51.849998,45.54739,25900
2016-06-15,52.459999,52.560001,52.187,52.187,45.843437,15800
2016-06-16,51.68,52.290001,50.990002,52.27,45.916351,24700
2016-06-17,52.82,52.98,52.459999,52.944,46.508419,11800
2016-06-20,54.59,54.59,54.16,54.16,47.576607,11700
2016-06-21,54.52,54.950001,54.279999,54.75,48.094891,20100
2016-06-22,55.0,55.09,54.759998,54.84,48.173943,6800
2016-06-23,55.470001,56.080002,55.470001,56.0,49.192947,17000
2016-06-24,52.0,52.73,51.279999,51.279999,45.046684,113800
2016-06-27,50.740002,50.740002,49.747002,50.179001,44.079517,59300
2016-06-28,51.43,51.549999,51.07,51.527,45.263657,105000
2016-06-29,52.189999,52.749001,52.189999,52.639999,46.241371,35300
2016-06-30,52.860001,53.43,52.661999,53.299999,46.821152,110800
2016-07-01,53.700001,53.700001,53.459999,53.540001,47.031967,41400
2016-07-05,52.900002,52.900002,52.262001,52.369999,46.004192,46000
2016-07-06,51.779999,52.25,51.426998,52.139999,45.802139,95000
2016-07-07,52.540001,52.589001,51.811001,52.02,45.696735,24400
2016-07-08,52.799999,52.970001,52.615002,52.880001,46.45219,19500
2016-07-11,53.52,53.639999,53.400002,53.57,47.058331,26100
2016-07-12,54.439999,54.625999,54.099998,54.400002,47.787445,18700
2016-07-13,54.259998,54.68,54.259998,54.41,47.796219,46500
2016-07-14,55.0,55.099998,54.943001,54.98,48.296936,15500
2016-07-15,55.025002,55.028999,54.710999,54.900002,48.226658,107500
2016-07-18,54.849998,55.078999,54.573002,55.009998,48.323284,22900
2016-07-19,54.529999,54.599998,54.380001,54.470001,47.848919,28400
2016-07-20,54.73,54.898998,54.632,54.880001,48.209084,20100
2016-07-21,54.779999,54.918999,54.549999,54.790001,48.130028,15600
2016-07-22,54.610001,54.842999,54.610001,54.790001,48.130028,26100
2016-07-25,54.830002,54.830002,54.549999,54.618999,47.979809,12400
2016-07-26,54.830002,54.970001,54.528999,54.82,48.156384,18000
2016-07-27,55.119999,55.119999,54.66,54.93,48.25301,19000
2016-07-28,54.990002,54.990002,54.709999,54.883999,48.212605,17100
2016-07-29,55.130001,55.499001,55.049999,55.438999,48.70013,4800
2016-08-01,55.509998,55.509998,55.0,55.080002,48.384773,26600
2016-08-02,55.0,55.0,54.529999,54.676998,48.030766,13600
2016-08-03,54.450001,54.709999,54.415001,54.639999,47.998257,20300
2016-08-04,54.939999,55.09,54.810001,55.02,48.332069,12700
2016-08-05,55.259998,55.493,55.189999,55.439999,48.701012,11700
2016-08-08,55.799999,55.799999,55.672001,55.75,48.973331,19000
2016-08-09,55.919998,56.303001,55.919998,56.165001,49.337887,21800
2016-08-10,56.610001,56.610001,56.276001,56.310001,49.465263,13400
2016-08-11,56.549999,56.827999,56.493,56.827999,49.9203,7200
2016-08-12,56.84,56.84,56.48,56.560001,49.684875,37800
2016-08-15,57.0,57.0,56.779999,56.869999,49.957191,245500
2016-08-16,56.830002,56.854,56.674999,56.689999,49.799072,27800
2016-08-17,56.59,56.717999,56.235001,56.650002,49.763939,11600
2016-08-18,56.740002,56.939999,56.686001,56.939999,50.018684,3400
2016-08-19,56.59,56.59,56.195,56.470001,49.605816,11800
2016-08-22,56.380001,56.389999,56.09,56.349998,49.500397,30000
2016-08-23,56.73,56.939999,56.57,56.630001,49.746361,30700
2016-08-24,56.740002,56.740002,56.459999,56.509998,49.640945,22400
2016-08-25,56.400002,56.479,56.34,56.369999,49.517971,17200
2016-08-26,56.564999,57.025002,55.757,55.950001,49.149025,24300
2016-08-29,56.080002,56.361,55.91,56.241001,49.404652,25100
2016-08-30,56.331001,56.331001,56.150002,56.279999,49.438911,12600
2016-08-31,56.32,56.32,55.799999,56.07,49.254436,23400
2016-09-01,56.419998,56.419998,56.0,56.419998,49.561893,12600
2016-09-02,57.099998,57.200001,56.970001,57.110001,50.168015,19400
2016-09-06,57.41,57.689999,57.275002,57.689999,50.677517,16700
2016-09-07,58.0,58.0,57.515999,57.66,50.651165,18200
2016-09-08,57.66,57.849998,57.5,57.68,50.668728,11600
2016-09-09,57.5,57.5,56.396999,56.419998,49.561893,33500
2016-09-12,56.119999,56.889999,55.900002,56.853001,49.942265,18400
2016-09-13,55.740002,55.740002,54.849998,54.990002,48.625599,26400
2016-09-14,55.299999,55.398998,54.959999,55.014999,48.647697,15800
2016-09-15,54.900002,55.66,54.900002,55.52,49.094261,4600
2016-09-16,55.32,55.32,54.75,54.860001,48.510639,32200
2016-09-19,55.34,55.529999,55.169998,55.279999,48.882027,19000
2016-09-20,55.869999,55.869999,55.404999,55.439999,49.023518,10200
2016-09-21,55.950001,56.540001,55.754002,56.5,49.960831,36400
2016-09-22,57.349998,57.349998,56.849998,56.990002,50.394119,23600
2016-09-23,56.57,56.59,56.349998,56.349998,49.82819,10100
2016-09-26,55.970001,55.990002,55.764999,55.799999,49.341843,12300
2016-09-27,55.75,56.0,55.549999,55.939999,49.465645,16400
2016-09-28,56.200001,56.619999,55.889999,56.619999,50.06694,10900
2016-09-29,56.720001,56.720001,55.799999,55.990002,49.509865,25200
2016-09-30,56.049999,56.509998,55.974998,56.41,49.881248,10000
2016-10-03,56.259998,56.400002,56.155998,56.389999,49.863556,17200
2016-10-04,56.68,56.700001,56.040001,56.150002,49.65134,56800
2016-10-05,56.709999,56.75,56.43,56.73,50.164211,13600
2016-10-06,56.630001,56.630001,56.314999,56.48,49.943138,23100
2016-10-07,56.470001,56.470001,55.792999,56.209999,49.704395,13800
2016-10-10,56.529999,56.630001,56.402,56.419998,49.890083,12500
2016-10-11,56.139999,56.139999,55.389999,55.57,49.13847,41500
2016-10-12,55.414001,55.740002,55.400002,55.529999,49.103096,16600
2016-10-13,54.98,55.400002,54.665001,55.32,48.917404,17700
2016-10-14,55.849998,55.849998,55.400002,55.400002,48.98814,33100
2016-10-17,55.48,55.48,55.207001,55.290001,48.890877,24100
2016-10-18,55.959999,56.060001,55.810001,55.959999,49.483337,52400
2016-10-19,56.080002,56.16,55.916,56.099998,49.607117,8200
2016-10-20,56.07,56.139999,55.93,56.110001,49.615971,13100
2016-10-21,55.869999,56.009998,55.759998,56.009998,49.527542,21200
2016-10-24,56.459999,56.459999,56.02,56.169998,49.669025,16900
2016-10-25,56.200001,56.23,56.0,56.150002,49.65134,8600
2016-10-26,55.93,56.075001,55.779999,55.880001,49.41259,24200
2016-10-27,56.119999,56.119999,55.779999,55.869999,49.403744,20400
2016-10-28,55.869999,55.970001,55.630001,55.709999,49.262264,34300
2016-10-31,55.93,55.942001,55.720001,55.830002,49.368382,15600
2016-11-01,56.029999,56.029999,55.380001,55.560001,49.129627,41000
2016-11-02,55.5,55.509998,55.060001,55.169998,48.784763,24700
2016-11-03,55.380001,55.380001,55.009998,55.009998,48.643276,16700
2016-11-04,54.830002,54.869999,54.5,54.52,48.209991,19700
2016-11-07,54.830002,55.639999,54.830002,55.560001,49.129627,41900
2016-11-08,55.619999,56.119999,55.43,55.917,49.445309,24800
2016-11-09,55.59,55.953999,55.200001,55.75,49.297626,57700
2016-11-10,55.869999,55.869999,55.169998,55.400002,48.98814,16700
2016-11-11,55.290001,55.290001,54.641998,55.040001,48.669811,12300
2016-11-14,54.889999,54.889999,54.445,54.669998,48.342628,58400
2016-11-15,54.5,55.240002,54.5,55.189999,48.802448,30100
2016-11-16,54.779999,54.779999,54.630001,54.68,48.351475,25500
2016-11-17,55.040001,55.110001,54.806,54.919998,48.56369,18200
2016-11-18,54.82,54.82,54.367001,54.459999,48.15694,38900
2016-11-21,54.849998,55.040001,54.785,55.040001,48.669811,57700
2016-11-22,55.43,55.43,55.077,55.34,48.935089,16100
2016-11-23,54.91,55.09,54.759998,55.09,48.714012,14200
2016-11-25,55.360001,55.369999,55.191002,55.330002,48.926243,9300
2016-11-28,55.299999,55.299999,55.009998,55.040001,48.669811,45100
2016-11-29,55.110001,55.349998,54.939999,55.205002,48.815704,61600
2016-11-30,55.490002,55.540001,55.23,55.310001,48.908566,73800
2016-12-01,55.509998,55.540001,55.16,55.290001,48.890877,36000
