Date,Open,High,Low,Close,Adj Close,Volume
2012-01-26,11.52,12.23,11.45,12.0,11.551567,415800
2012-01-27,11.95,12.25,11.75,12.18,11.724839,73200
2012-01-30,12.0,12.18,12.0,12.01,11.561192,16300
2012-01-31,12.02,12.11,12.0,12.05,11.599694,43000
2012-02-01,11.9,12.15,11.9,12.09,11.638202,17300
2012-02-02,12.1,12.1,12.05,12.1,11.647829,32000
2012-02-03,12.02,12.19,12.02,12.19,11.734464,19300
2012-02-06,12.23,12.23,12.07,12.07,11.618947,13900
2012-02-07,12.1,12.1,12.0,12.05,11.599694,24100
2012-02-08,12.01,12.1,12.01,12.06,11.609324,6100
2012-02-09,12.02,12.18,11.98,12.16,11.705586,25500
2012-02-10,12.12,12.18,12.05,12.18,11.724839,22300
2012-02-13,12.17,12.17,12.12,12.15,11.695961,7000
2012-02-14,12.12,12.14,12.12,12.14,11.686335,8900
2012-02-15,12.19,12.19,12.16,12.19,11.734464,2200
2012-02-16,12.2,12.67,12.2,12.67,12.196529,13100
2012-02-17,12.23,13.25,12.23,12.67,12.196529,27600
2012-02-21,12.62,12.95,12.62,12.95,12.466063,1400
2012-02-22,12.96,12.99,12.78,12.81,12.331294,2600
2012-02-23,12.9,12.99,12.9,12.99,12.50457,900
2012-02-24,12.94,12.95,12.22,12.29,11.830728,5600
2012-02-27,12.79,12.79,12.28,12.7,12.225406,3000
2012-02-28,12.45,12.7,12.45,12.69,12.215778,600
2012-02-29,12.67,12.7,12.44,12.65,12.177274,3100
2012-03-01,12.62,12.89,12.62,12.89,12.408305,2000
2012-03-02,12.85,12.85,12.85,12.85,12.3698,100
2012-03-05,12.85,12.85,12.5,12.5,12.032882,1700
2012-03-06,12.52,12.54,12.5,12.54,12.071387,2900
2012-03-07,12.5,12.5,12.48,12.5,12.032882,2300
2012-03-08,12.5,12.5,12.5,12.5,12.032882,0
2012-03-09,12.5,12.5,12.5,12.5,12.032882,0
2012-03-12,12.5,12.5,12.35,12.35,11.888484,6300
2012-03-13,12.44,12.7,12.44,12.68,12.206153,6800
2012-03-14,12.48,12.7,12.48,12.7,12.225406,8000
2012-03-15,12.5,12.5,12.43,12.48,12.013625,6700
2012-03-16,12.46,12.5,12.46,12.5,12.032882,3400
2012-03-19,12.51,12.55,12.41,12.45,11.984746,4200
2012-03-20,12.4,12.5,12.4,12.41,11.946245,3400
2012-03-21,12.5,12.95,12.5,12.95,12.466063,9900
2012-03-22,12.95,12.95,12.95,12.95,12.466063,0
2012-03-23,12.88,12.9,12.6,12.9,12.417931,1700
2012-03-26,12.9,12.9,12.9,12.9,12.417931,0
2012-03-27,12.53,12.8,12.53,12.8,12.321668,2400
2012-03-28,12.89,12.9,12.75,12.9,12.417931,11300
2012-03-29,12.82,12.82,12.75,12.75,12.27354,600
2012-03-30,12.75,12.75,12.75,12.75,12.27354,0
2012-04-02,12.55,12.55,12.53,12.53,12.061758,1200
2012-04-03,12.53,12.53,12.53,12.53,12.061758,0
2012-04-04,12.74,12.74,12.74,12.74,12.263908,300
2012-04-05,12.53,12.53,12.53,12.53,12.061758,100
2012-04-09,12.57,12.57,12.5,12.5,12.032882,2800
2012-04-10,12.53,12.53,12.45,12.45,11.984746,7800
2012-04-11,12.58,12.58,12.5,12.5,12.032882,4900
2012-04-12,12.5,12.5,12.49,12.5,12.032882,5100
2012-04-13,12.48,12.51,12.48,12.5,12.032882,8600
2012-04-16,12.52,12.52,12.5,12.5,12.032882,600
2012-04-17,12.7,12.72,12.6,12.72,12.244657,10900
2012-04-18,12.69,12.71,12.69,12.71,12.235032,500
2012-04-19,12.71,12.71,12.71,12.71,12.235032,0
2012-04-20,12.71,12.71,12.71,12.71,12.235032,0
2012-04-23,12.5,12.5,12.42,12.42,11.95587,3900
2012-04-24,12.69,12.69,12.69,12.69,12.215778,100
2012-04-25,12.51,12.71,12.51,12.65,12.177274,11500
2012-04-26,12.6,12.71,12.6,12.69,12.215778,2200
2012-04-27,12.71,12.72,12.62,12.62,12.148396,4200
2012-04-30,12.72,12.73,12.7,12.73,12.254287,1500
2012-05-01,12.75,13.25,12.75,13.1,12.610459,18000
2012-05-02,13.12,13.5,13.12,13.5,12.99551,8800
2012-05-03,13.5,13.53,13.11,13.11,12.620084,3600
2012-05-04,13.1,13.99,13.1,13.58,13.07252,6100
2012-05-07,13.95,14.25,13.62,14.25,13.717484,3100
2012-05-08,14.25,15.0,14.06,14.9,14.343193,10300
2012-05-09,14.82,14.82,14.1,14.8,14.246927,1900
2012-05-10,14.8,14.8,14.8,14.8,14.246927,200
2012-05-11,14.6,15.2,14.31,14.8,14.246927,2800
2012-05-14,14.95,14.95,14.02,14.4,13.861877,800
2012-05-15,14.29,14.29,14.0,14.25,13.717484,2300
2012-05-16,14.25,14.25,14.25,14.25,13.717484,200
2012-05-17,14.6,14.6,14.1,14.45,13.910009,800
2012-05-18,14.5,14.5,13.63,14.25,13.717484,1700
2012-05-21,14.6,14.6,13.79,14.0,13.476828,1500
2012-05-22,14.13,14.68,13.78,13.78,13.265047,5200
2012-05-23,13.75,14.0,13.51,14.0,13.476828,2800
2012-05-24,13.91,14.51,13.91,14.5,13.958141,2100
2012-05-25,14.5,14.5,14.38,14.5,13.958141,1000
2012-05-29,14.24,14.5,14.2,14.5,13.958141,2500
2012-05-30,14.5,14.65,14.5,14.65,14.102534,1200
2012-05-31,14.51,14.51,14.5,14.5,13.958141,2000
2012-06-01,14.5,14.55,13.95,14.4,13.861877,2400
2012-06-04,14.0,14.25,14.0,14.25,13.717484,11700
2012-06-05,14.15,14.25,14.15,14.15,13.62122,7800
2012-06-06,14.15,14.15,14.15,14.15,13.62122,0
2012-06-07,14.2,14.2,14.2,14.2,13.669353,300
