Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,8.656667,8.71,8.62,8.643333,7.845407,67500
2010-01-05,8.603333,8.723333,8.466666,8.466666,7.685049,88500
2010-01-06,8.493333,8.603333,8.386666,8.426666,7.648742,74400
2010-01-07,8.503333,8.52,8.37,8.503333,7.718331,113100
2010-01-08,8.506667,8.71,8.486667,8.653334,7.854485,102000
2010-01-11,8.69,8.69,8.4,8.486667,7.703203,27000
2010-01-12,8.433333,8.69,8.433333,8.493333,7.709251,47100
2010-01-13,8.56,8.646667,8.436666,8.523334,7.736485,66000
2010-01-14,8.636666,8.816667,8.59,8.626667,7.83028,186000
2010-01-15,8.676666,8.706667,8.463333,8.463333,7.682023,56100
2010-01-19,8.463333,8.666667,8.463333,8.663333,7.863564,54300
2010-01-20,8.6,8.603333,8.37,8.52,7.733459,39000
2010-01-21,8.593333,8.75,8.31,8.68,7.878687,224700
2010-01-22,8.646667,8.796667,8.49,8.666667,7.866588,207600
2010-01-25,8.74,8.74,8.286667,8.573334,7.781873,43800
2010-01-26,8.383333,8.666667,8.336667,8.59,7.797002,41100
2010-01-27,8.513333,8.7,8.513333,8.663333,7.863564,64200
2010-01-28,8.706667,8.81,8.59,8.59,7.797002,69900
2010-01-29,8.796667,9.126667,8.67,9.0,8.169149,238800
2010-02-01,9.0,9.143333,8.933333,9.1,8.259916,97500
2010-02-02,9.086667,9.35,8.976666,9.24,8.386991,69300
2010-02-03,9.216666,9.34,9.216666,9.27,8.414222,44400
2010-02-04,9.23,9.34,9.083333,9.253333,8.399093,278700
2010-02-05,9.243333,9.436666,9.16,9.296667,8.438429,108000
2010-02-08,9.326667,9.326667,8.9,8.943334,8.11771,129600
2010-02-09,9.04,9.12,8.803333,9.11,8.268991,72600
2010-02-10,9.033334,9.24,8.893333,9.21,8.396628,196200
2010-02-11,9.196667,9.423333,9.176666,9.373333,8.545537,84600
2010-02-12,9.286667,9.386666,9.283334,9.336667,8.512112,71100
2010-02-16,9.413333,9.556666,9.33,9.466666,8.630628,63900
2010-02-17,9.533334,9.533334,9.33,9.416667,8.585045,42000
2010-02-18,9.4,9.4,9.166667,9.36,8.533383,30000
2010-02-19,9.353333,9.803333,9.353333,9.75,8.88894,44100
2010-02-22,9.82,9.97,9.74,9.97,9.089512,41400
2010-02-23,9.956667,10.0,9.806666,9.863334,8.992266,53100
2010-02-24,9.873333,10.17,9.813334,10.17,9.271848,43500
2010-02-25,10.04,10.093333,9.926666,10.056666,9.168524,31500
2010-02-26,10.093333,10.23,9.916667,10.23,9.326548,136500
2010-03-01,10.11,10.496667,10.1,10.493333,9.566625,106200
2010-03-02,10.483334,10.956667,10.35,10.953333,9.986001,74100
2010-03-03,10.953333,10.953333,10.74,10.896667,9.934337,41700
2010-03-04,10.896667,11.123333,10.893333,11.07,10.092365,42600
2010-03-05,11.093333,11.833333,11.093333,11.81,10.76701,56700
2010-03-08,11.77,12.24,11.77,12.126667,11.055715,194100
2010-03-09,12.106667,12.143333,11.94,12.066667,11.001012,104700
2010-03-10,12.033334,12.213333,12.033334,12.16,11.086102,104400
2010-03-11,12.096666,12.266666,12.06,12.183333,11.107375,128100
2010-03-12,12.25,12.356667,12.146667,12.306666,11.219816,62100
2010-03-15,12.27,12.466666,12.27,12.403334,11.307946,44700
2010-03-16,12.423333,12.44,12.116667,12.413333,11.317062,28500
2010-03-17,12.426666,12.65,12.373333,12.586667,11.475087,31800
2010-03-18,12.613334,12.613334,12.353333,12.56,11.450778,20400
2010-03-19,12.57,12.733334,12.376667,12.733334,11.608804,109800
2010-03-22,12.593333,12.993333,12.533334,12.826667,11.693893,53100
2010-03-23,12.826667,12.966666,12.65,12.876667,11.739478,67800
