Date,Open,High,Low,Close,Adj Close,Volume
2013-09-19,18.5,20.799999,18.5,19.99,19.99,5516900
2013-09-20,20.450001,20.99,19.799999,20.99,20.99,331100
2013-09-23,21.25,21.68,19.83,20.030001,20.030001,334700
2013-09-24,20.15,22.0,19.9,21.700001,21.700001,453400
2013-09-25,22.49,22.99,22.01,22.57,22.57,342100
2013-09-26,23.290001,23.41,21.709999,22.139999,22.139999,175200
2013-09-27,21.84,23.0,21.84,22.92,22.92,141100
2013-09-30,22.799999,22.959999,22.0,22.23,22.23,320500
2013-10-01,22.23,22.950001,21.790001,22.5,22.5,241300
2013-10-02,22.549999,23.49,21.99,23.49,23.49,136300
2013-10-03,24.0,25.969999,23.040001,25.790001,25.790001,284200
2013-10-04,25.790001,26.73,25.389999,25.889999,25.889999,316700
2013-10-07,25.75,26.389999,25.01,25.9,25.9,258600
2013-10-08,25.709999,26.24,22.799999,23.200001,23.200001,158900
2013-10-09,23.110001,23.18,19.209999,19.98,19.98,318800
2013-10-10,20.9,22.49,20.110001,20.629999,20.629999,270900
2013-10-11,20.5,22.4,20.5,22.120001,22.120001,100000
2013-10-14,22.48,22.790001,21.190001,21.280001,21.280001,113100
2013-10-15,21.280001,22.360001,21.280001,22.129999,22.129999,76700
2013-10-16,22.200001,22.84,21.709999,22.620001,22.620001,83600
2013-10-17,22.6,22.6,21.549999,22.049999,22.049999,128400
2013-10-18,21.4,22.85,21.4,22.799999,22.799999,78000
2013-10-21,22.82,22.82,21.85,22.370001,22.370001,70800
2013-10-22,22.370001,22.85,22.0,22.75,22.75,72400
2013-10-23,22.76,23.450001,22.57,23.059999,23.059999,32500
2013-10-24,23.34,23.5,22.790001,23.25,23.25,159300
2013-10-25,22.940001,23.799999,22.66,22.85,22.85,65200
2013-10-28,23.200001,23.99,22.0,23.76,23.76,30200
2013-10-29,23.58,23.65,22.139999,22.74,22.74,29700
2013-10-30,22.969999,23.25,22.75,22.85,22.85,86400
2013-10-31,22.940001,23.209999,21.57,22.540001,22.540001,29600
2013-11-01,22.52,22.52,21.1,21.24,21.24,13000
2013-11-04,21.1,21.1,20.0,20.280001,20.280001,68100
2013-11-05,20.33,22.219999,20.059999,21.459999,21.459999,80400
2013-11-06,21.629999,21.65,16.780001,19.530001,19.530001,328400
2013-11-07,20.309999,20.450001,17.26,17.4,17.4,39900
2013-11-08,17.42,18.82,16.780001,18.5,18.5,57300
2013-11-11,18.549999,19.200001,18.5,19.030001,19.030001,15200
2013-11-12,19.129999,19.41,18.59,19.01,19.01,72000
2013-11-13,18.940001,19.809999,18.940001,19.459999,19.459999,18000
2013-11-14,19.59,19.74,18.959999,19.290001,19.290001,9600
2013-11-15,19.74,20.530001,19.049999,19.709999,19.709999,39100
2013-11-18,19.700001,19.92,19.25,19.469999,19.469999,72800
2013-11-19,19.51,19.959999,19.15,19.77,19.77,17400
2013-11-20,19.790001,20.33,19.76,19.76,19.76,41600
2013-11-21,20.02,20.52,19.77,20.52,20.52,19000
2013-11-22,21.02,21.879999,19.959999,21.07,21.07,16500
2013-11-25,20.870001,21.5,20.799999,21.24,21.24,19800
2013-11-26,21.49,21.74,20.879999,21.450001,21.450001,18300
2013-11-27,21.549999,22.01,21.040001,21.68,21.68,82800
2013-11-29,21.809999,22.08,21.290001,21.77,21.77,69600
2013-12-02,21.76,22.110001,21.5,22.09,22.09,57300
2013-12-03,22.41,23.52,21.59,23.280001,23.280001,69100
2013-12-04,23.27,24.76,22.91,24.08,24.08,73100
2013-12-05,24.030001,24.780001,23.440001,24.110001,24.110001,46100
2013-12-06,24.110001,26.049999,23.83,25.99,25.99,86900
2013-12-09,26.23,28.9,26.23,27.24,27.24,170700
2013-12-10,27.469999,30.0,26.950001,29.92,29.92,91100
2013-12-11,30.610001,31.43,27.379999,28.07,28.07,190800
2013-12-12,27.0,29.549999,25.27,29.219999,29.219999,315500
2013-12-13,28.9,29.940001,28.0,29.190001,29.190001,98600
2013-12-16,28.98,30.620001,28.4,28.719999,28.719999,193200
2013-12-17,28.92,28.92,26.82,27.620001,27.620001,158400
2013-12-18,27.860001,29.99,26.809999,27.209999,27.209999,281100
2013-12-19,26.870001,28.93,26.15,28.74,28.74,146700
2013-12-20,29.0,30.0,27.120001,30.0,30.0,1206300
2013-12-23,29.73,33.830002,29.530001,32.970001,32.970001,197000
2013-12-24,32.970001,33.849998,31.74,32.75,32.75,119300
2013-12-26,32.849998,35.549999,32.23,35.139999,35.139999,201500
2013-12-27,35.810001,37.279999,34.389999,35.25,35.25,149600
2013-12-30,35.580002,37.66,35.150002,35.259998,35.259998,145900
2013-12-31,35.150002,40.02,35.150002,39.599998,39.599998,254200
2014-01-02,39.919998,40.0,36.860001,38.110001,38.110001,136000
2014-01-03,38.200001,39.990002,37.759998,39.009998,39.009998,124200
2014-01-06,39.380001,40.950001,38.099998,40.939999,40.939999,151100
2014-01-07,41.810001,43.700001,41.220001,41.669998,41.669998,332400
2014-01-08,41.459999,42.369999,40.279999,41.259998,41.259998,188200
2014-01-09,42.060001,49.330002,42.0,48.990002,48.990002,192000
2014-01-10,48.759998,48.759998,40.939999,47.150002,47.150002,533300
2014-01-13,45.639999,48.369999,45.43,46.310001,46.310001,194500
2014-01-14,46.310001,48.779999,46.310001,48.52,48.52,94300
2014-01-15,49.310001,50.650002,47.990002,48.73,48.73,159800
2014-01-16,48.490002,48.790001,47.150002,47.419998,47.419998,69900
2014-01-17,47.099998,50.369999,46.09,49.139999,49.139999,205800
2014-01-21,47.0,51.990002,45.810001,51.66,51.66,175900
2014-01-22,51.540001,57.889999,51.040001,56.700001,56.700001,354900
2014-01-23,53.25,53.389999,50.919998,51.009998,51.009998,1866000
2014-01-24,50.779999,51.669998,48.689999,49.029999,49.029999,291200
2014-01-27,49.0,49.0,44.119999,46.080002,46.080002,295200
2014-01-28,46.0,48.330002,45.900002,47.389999,47.389999,147700
2014-01-29,48.400002,50.299999,47.32,49.639999,49.639999,212300
2014-01-30,51.91,52.84,49.0,49.650002,49.650002,233300
2014-01-31,48.66,48.830002,44.209999,46.349998,46.349998,279400
2014-02-03,46.099998,46.650002,43.459999,44.630001,44.630001,137200
2014-02-04,45.009998,46.939999,43.950001,44.48,44.48,287200
2014-02-05,44.029999,45.380001,43.810001,44.540001,44.540001,125400
2014-02-06,44.970001,45.400002,44.029999,44.5,44.5,200400
2014-02-07,45.41,45.52,42.619999,43.470001,43.470001,229500
2014-02-10,43.939999,45.5,42.630001,45.240002,45.240002,149600
2014-02-11,45.5,45.5,43.799999,44.439999,44.439999,95800
2014-02-12,44.34,45.240002,43.509998,43.790001,43.790001,101700
2014-02-13,43.130001,44.400002,40.290001,43.990002,43.990002,206100
2014-02-14,43.369999,43.84,41.16,41.75,41.75,250200
2014-02-18,42.16,45.889999,41.700001,45.610001,45.610001,324200
2014-02-19,45.330002,46.5,43.959999,44.360001,44.360001,161700
2014-02-20,44.169998,46.610001,43.189999,46.080002,46.080002,189900
2014-02-21,46.32,48.130001,43.549999,47.490002,47.490002,291300
2014-02-24,47.790001,49.0,44.880001,45.279999,45.279999,313700
2014-02-25,46.5,47.470001,45.040001,46.869999,46.869999,170700
2014-02-26,46.0,50.099998,45.970001,46.900002,46.900002,246500
2014-02-27,46.52,47.639999,45.0,47.029999,47.029999,177600
2014-02-28,46.84,48.59,45.5,46.93,46.93,179400
2014-03-03,46.290001,49.34,46.009998,48.52,48.52,167100
2014-03-04,49.099998,53.849998,48.75,50.52,50.52,233200
2014-03-05,50.48,53.57,50.450001,52.27,52.27,181900
2014-03-06,52.349998,53.93,50.740002,51.75,51.75,168900
2014-03-07,52.43,52.43,48.830002,51.43,51.43,182800
2014-03-10,51.450001,53.07,49.369999,50.139999,50.139999,207300
2014-03-11,51.099998,51.360001,47.740002,47.98,47.98,179700
2014-03-12,47.509998,49.34,47.009998,48.130001,48.130001,139200
2014-03-13,48.419998,48.610001,45.009998,45.639999,45.639999,147700
2014-03-14,45.299999,47.639999,44.099998,45.25,45.25,254400
2014-03-17,45.560001,45.830002,42.470001,42.5,42.5,258700
2014-03-18,42.599998,44.040001,38.0,40.080002,40.080002,1074100
2014-03-19,40.23,40.610001,39.380001,39.799999,39.799999,513800
2014-03-20,39.549999,39.610001,38.32,38.919998,38.919998,335700
2014-03-21,38.98,39.099998,38.52,39.009998,39.009998,438600
2014-03-24,39.049999,39.66,37.91,38.549999,38.549999,264200
2014-03-25,38.779999,39.07,37.52,38.200001,38.200001,473100
2014-03-26,38.639999,38.689999,36.509998,36.75,36.75,322200
2014-03-27,36.830002,36.889999,35.91,36.310001,36.310001,202000
2014-03-28,36.25,38.360001,33.93,34.279999,34.279999,337700
2014-03-31,34.689999,35.34,33.810001,34.5,34.5,173300
2014-04-01,34.740002,35.259998,33.029999,33.869999,33.869999,168400
2014-04-02,38.0,42.240002,37.400002,38.330002,38.330002,974600
2014-04-03,38.0,38.529999,35.529999,37.16,37.16,363400
2014-04-04,37.41,37.41,34.560001,35.959999,35.959999,213800
2014-04-07,35.619999,36.810001,35.09,36.369999,36.369999,410600
2014-04-08,36.459999,36.779999,35.799999,36.009998,36.009998,631900
2014-04-09,36.299999,38.009998,35.919998,37.830002,37.830002,174600
2014-04-10,38.439999,38.439999,36.02,36.709999,36.709999,618700
2014-04-11,36.240002,38.119999,34.869999,36.540001,36.540001,308700
2014-04-14,36.84,38.5,35.630001,37.16,37.16,299700
2014-04-15,37.220001,37.419998,33.610001,34.5,34.5,262600
2014-04-16,34.720001,38.169998,34.490002,37.799999,37.799999,353800
2014-04-17,38.02,39.279999,37.700001,38.41,38.41,224600
2014-04-21,38.080002,38.529999,35.77,36.369999,36.369999,155000
2014-04-22,35.75,36.860001,34.66,35.009998,35.009998,420300
2014-04-23,35.0,35.259998,33.060001,33.419998,33.419998,206700
2014-04-24,33.630001,35.189999,30.01,31.85,31.85,1931800
2014-04-25,32.380001,32.619999,30.719999,32.5,32.5,284400
2014-04-28,32.740002,32.740002,30.799999,32.419998,32.419998,340900
2014-04-29,32.5,33.860001,32.080002,33.700001,33.700001,178800
2014-04-30,33.459999,34.48,32.599998,34.349998,34.349998,201300
2014-05-01,34.029999,34.490002,32.560001,34.16,34.16,136400
2014-05-02,34.130001,34.310001,33.09,33.700001,33.700001,192300
2014-05-05,33.25,35.369999,32.639999,33.369999,33.369999,263700
2014-05-06,33.279999,33.650002,31.120001,31.17,31.17,183400
2014-05-07,31.719999,33.200001,30.370001,32.689999,32.689999,445600
2014-05-08,32.009998,33.049999,31.459999,32.099998,32.099998,194700
2014-05-09,31.93,32.700001,31.0,31.870001,31.870001,370900
2014-05-12,31.780001,33.169998,31.709999,32.650002,32.650002,277500
2014-05-13,32.720001,34.990002,32.18,32.740002,32.740002,209200
2014-05-14,32.73,33.34,31.530001,31.75,31.75,295400
2014-05-15,32.32,32.400002,30.950001,31.559999,31.559999,377200
2014-05-16,31.77,32.369999,31.27,31.98,31.98,425700
2014-05-19,31.68,32.650002,31.0,31.52,31.52,379400
2014-05-20,31.51,32.91,31.43,31.76,31.76,327300
2014-05-21,31.780001,32.75,28.530001,29.43,29.43,373700
2014-05-22,29.610001,31.959999,28.59,31.23,31.23,523600
2014-05-23,30.639999,31.530001,30.059999,30.66,30.66,120200
2014-05-27,30.76,31.26,30.280001,31.0,31.0,192600
2014-05-28,31.0,31.24,30.65,30.940001,30.940001,478700
2014-05-29,31.200001,31.549999,29.959999,30.209999,30.209999,350600
2014-05-30,30.34,30.469999,29.02,29.68,29.68,337100
2014-06-02,29.610001,30.129999,29.02,30.0,30.0,232800
2014-06-03,29.49,30.1,29.1,30.0,30.0,335900
2014-06-04,29.83,30.23,29.610001,29.940001,29.940001,185000
2014-06-05,30.120001,30.950001,29.93,30.23,30.23,498400
2014-06-06,30.4,31.07,30.209999,30.719999,30.719999,282600
2014-06-09,30.67,32.400002,30.440001,32.200001,32.200001,766200
2014-06-10,32.169998,34.07,31.790001,33.700001,33.700001,403300
2014-06-11,33.450001,33.889999,32.150002,32.650002,32.650002,273600
2014-06-12,32.43,34.540001,31.92,34.240002,34.240002,383400
2014-06-13,34.16,34.630001,33.009998,33.880001,33.880001,289100
2014-06-16,34.080002,34.23,31.75,32.880001,32.880001,440400
2014-06-17,32.740002,34.360001,31.889999,34.099998,34.099998,360200
2014-06-18,34.130001,34.849998,34.0,34.580002,34.580002,280500
2014-06-19,34.860001,34.970001,33.709999,34.34,34.34,173800
2014-06-20,34.52,35.150002,33.869999,34.77,34.77,425100
