Date,Open,High,Low,Close,Adj Close,Volume
2016-12-19,10.0,10.0,10.0,10.0,10.0,400
2016-12-20,10.0,10.15,8.395,10.0,10.0,9600
2016-12-21,10.0,10.0,9.85,9.95,9.95,19900
2016-12-22,9.9,9.9,9.9,9.9,9.9,2000
2016-12-23,9.84,9.85,9.84,9.85,9.85,1300
2016-12-27,9.85,9.85,9.85,9.85,9.85,0
2016-12-28,9.84,9.84,9.46,9.72,9.72,3800
2016-12-29,9.4,9.4,8.55,9.35,9.35,18000
2016-12-30,9.2,9.35,9.2,9.35,9.35,3100
2017-01-03,9.15,9.35,9.1,9.35,9.35,5000
2017-01-04,9.35,9.69,9.35,9.69,9.69,6600
2017-01-05,9.572,9.6,9.42,9.5,9.5,8300
2017-01-06,9.69,9.791,9.69,9.72,9.72,2500
2017-01-09,9.72,9.72,9.72,9.72,9.72,0
2017-01-10,9.65,9.65,9.6,9.61,9.61,1300
2017-01-11,9.694,9.75,9.66,9.66,9.66,1200
2017-01-12,9.704,9.705,9.61,9.61,9.61,900
2017-01-13,9.7,9.74,9.6,9.6,9.6,6800
2017-01-17,9.69,9.74,9.6,9.6,9.6,11400
2017-01-18,9.65,9.68,9.53,9.53,9.53,6300
2017-01-19,9.69,9.69,9.48,9.49,9.49,2400
2017-01-20,9.69,9.74,9.608,9.7,9.7,6700
2017-01-23,9.62,9.95,9.62,9.91,9.91,21600
2017-01-24,9.92,9.95,9.85,9.877,9.877,30000
2017-01-25,9.86,10.679,9.75,9.9,9.9,82000
2017-01-26,10.0,10.0,9.681,9.796,9.796,10200
2017-01-27,9.85,9.919,9.799,9.84,9.84,11200
2017-01-30,9.84,9.85,9.78,9.8,9.8,11100
2017-01-31,9.839,9.839,9.689,9.76,9.76,18900
2017-02-01,9.935,10.0,9.795,9.8,9.8,66300
2017-02-02,9.749,9.949,9.7,9.715,9.715,72100
2017-02-03,9.73,9.87,9.716,9.84,9.84,64600
2017-02-06,9.66,9.734,9.28,9.33,9.33,67700
2017-02-07,9.37,9.44,9.21,9.35,9.35,7300
2017-02-08,9.35,9.35,9.24,9.25,9.25,10700
2017-02-09,9.49,9.49,9.11,9.3,9.3,6100
