Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,11.0,12.0,11.0,12.0,12.0,300
2010-01-05,12.0,12.75,11.5,12.25,12.25,4800
2010-01-06,12.75,14.25,12.25,14.25,14.25,5300
2010-01-07,14.25,14.5,11.0,12.5,12.5,14200
2010-01-08,12.5,12.5,11.75,12.0,12.0,3200
2010-01-11,12.0,12.5,11.5,12.0,12.0,1600
2010-01-12,11.5,12.0,11.5,11.75,11.75,800
2010-01-13,11.5,12.0,11.5,12.0,12.0,1000
2010-01-14,12.0,12.0,11.5,11.5,11.5,1700
2010-01-15,11.25,11.5,9.25,9.5,9.5,9500
2010-01-19,9.5,10.5,9.5,10.25,10.25,2000
2010-01-20,10.5,10.5,9.25,9.25,9.25,8700
2010-01-21,9.25,9.25,9.0,9.25,9.25,1100
2010-01-22,8.75,9.25,8.75,9.25,9.25,1000
2010-01-25,8.75,9.0,8.25,8.25,8.25,2700
2010-01-26,8.25,9.75,8.25,9.75,9.75,6000
2010-01-27,9.0,9.25,8.75,9.0,9.0,1300
2010-01-28,9.0,9.0,8.25,9.0,9.0,500
2010-01-29,9.0,9.0,8.5,8.75,8.75,700
2010-02-01,8.25,9.0,7.5,8.75,8.75,8800
2010-02-02,8.85,9.75,7.9,9.75,9.75,200
2010-02-03,8.85,9.5,8.4,9.5,9.5,300
2010-02-04,9.0,9.0,9.0,9.0,9.0,300
2010-02-05,9.0,9.5,8.65,9.0,9.0,300
2010-02-08,8.5,9.45,6.75,8.75,8.75,2000
2010-02-09,8.6,9.2,8.0,8.95,8.95,2800
2010-02-10,8.9,9.5,8.0,8.7,8.7,1600
2010-02-11,8.7,9.3,8.7,9.3,9.3,200
2010-02-12,8.75,9.25,8.05,9.25,9.25,600
2010-02-16,9.25,9.25,9.0,9.25,9.25,100
2010-02-17,9.1,9.2,8.65,9.15,9.15,1700
2010-02-18,8.5,9.0,8.2,8.8,8.8,1900
2010-02-19,8.45,8.9,8.45,8.9,8.9,500
2010-02-22,8.15,9.3,8.15,9.3,9.3,4800
2010-02-23,9.1,9.1,9.1,9.1,9.1,800
2010-02-24,9.25,9.45,8.45,9.3,9.3,4000
2010-02-25,9.3,9.3,9.3,9.3,9.3,200
2010-02-26,9.25,9.25,8.65,8.8,8.8,1300
2010-03-01,8.75,8.75,8.45,8.55,8.55,4600
2010-03-02,8.6,9.0,8.55,9.0,9.0,3000
2010-03-03,8.5,9.1,6.25,8.95,8.95,700
2010-03-04,8.8,8.9,8.2,8.75,8.75,500
2010-03-05,8.6,8.6,8.1,8.5,8.5,1200
2010-03-08,8.3,9.3,8.3,9.3,9.3,4500
2010-03-09,9.0,9.6,9.0,9.45,9.45,4600
2010-03-10,8.95,9.2,8.95,8.95,8.95,1000
2010-03-11,9.2,9.2,8.8,8.95,8.95,500
2010-03-12,8.75,9.2,8.4,8.95,8.95,1400
2010-03-15,8.65,9.4,8.5,9.4,9.4,2400
2010-03-16,9.2,9.45,9.1,9.1,9.1,2600
2010-03-17,9.0,9.0,8.5,8.5,8.5,3400
2010-03-18,8.6,8.6,8.1,8.15,8.15,3100
2010-03-19,8.0,8.35,8.0,8.35,8.35,600
2010-03-22,8.05,8.8,8.0,8.3,8.3,2400
2010-03-23,8.05,8.8,8.0,8.8,8.8,1800
2010-03-24,8.3,8.75,8.3,8.75,8.75,500
2010-03-25,8.55,8.55,8.35,8.35,8.35,900
2010-03-26,8.35,8.35,8.15,8.15,8.15,100
2010-03-29,8.4,8.4,8.1,8.1,8.1,200
2010-03-30,8.75,17.299999,8.1,9.8,9.8,68800
2010-03-31,10.4,10.4,9.85,10.25,10.25,5600
2010-04-01,10.1,10.75,10.0,10.45,10.45,3500
2010-04-05,10.25,10.25,9.1,10.0,10.0,2600
2010-04-06,9.95,10.05,9.55,9.55,9.55,4800
2010-04-07,9.15,9.15,8.7,8.7,8.7,4500
2010-04-08,8.6,9.35,8.55,9.0,9.0,3600
2010-04-09,8.8,9.0,8.8,9.0,9.0,400
2010-04-12,9.0,9.75,9.0,9.5,9.5,4500
2010-04-13,9.75,9.75,9.3,9.3,9.3,2400
2010-04-14,9.7,9.75,9.35,9.75,9.75,2700
2010-04-15,9.75,11.85,9.55,11.8,11.8,11900
2010-04-16,11.8,12.5,11.5,12.15,12.15,6200
2010-04-19,11.9,12.0,10.95,11.9,11.9,5300
2010-04-20,11.95,14.4,11.95,12.5,12.5,44900
2010-04-21,12.5,12.5,11.2,12.1,12.1,5200
2010-04-22,11.8,12.15,11.7,12.1,12.1,800
2010-04-23,12.0,12.5,11.8,11.9,11.9,2700
2010-04-26,12.45,12.45,11.6,11.85,11.85,1400
2010-04-27,11.75,12.2,10.8,11.35,11.35,3600
2010-04-28,13.15,17.450001,12.7,12.9,12.9,128400
2010-04-29,12.9,13.1,11.55,12.5,12.5,16700
2010-04-30,12.3,13.25,12.3,13.0,13.0,6300
2010-05-03,13.25,13.45,12.4,13.0,13.0,11800
2010-05-04,13.0,13.3,12.25,12.4,12.4,10100
2010-05-05,12.05,12.45,12.0,12.25,12.25,1700
2010-05-06,12.0,12.25,11.4,11.75,11.75,3300
2010-05-07,11.75,11.75,10.75,11.25,11.25,2000
2010-05-10,11.75,12.55,11.25,11.8,11.8,1800
