buy_date,buy_price,sell_date,sell_price
2010-06-21,120.0,2010-06-28,129.6
2010-06-30,144.0,2010-07-01,129.6
2010-07-22,168.0,2010-07-23,151.20000000000002
2010-08-03,120.0,2010-08-04,108.0
2010-08-10,96.0,2010-08-12,108.0
2010-09-24,120.0,2010-09-30,108.0
2010-10-05,120.0,2010-10-06,108.0
2010-10-14,120.0,2010-10-18,108.0
2010-10-27,120.0,2010-10-28,108.0
2010-12-10,168.0,2010-12-13,151.20000000000002
2011-02-10,216.0,2011-02-14,194.4
2011-02-23,192.0,2011-02-24,172.8
2011-03-10,144.0,2011-03-15,151.20000000000002
2011-03-18,144.0,2011-03-24,151.20000000000002
2011-04-05,144.0,2011-04-08,151.20000000000002
2011-07-22,216.0,2011-07-25,194.4
2012-07-30,120.0,2012-08-01,108.0
2012-08-02,120.0,2012-08-03,108.0
2012-09-17,336.0,2012-09-20,410.40000000000003
2012-12-13,648.0,2012-12-14,583.2
2017-09-08,94.400002,2017-09-20,90.0
2019-11-13,4.77,2019-11-15,4.437
