buy_date,buy_price,sell_date,sell_price
2012-06-18,117.0,2012-06-25,112.05
2012-07-12,114.0,2012-07-16,118.8
2012-07-18,132.0,2012-07-19,118.8
2012-08-03,126.0,2012-08-07,113.4
2012-08-21,112.5,2012-08-28,116.10000000000001
2012-08-31,127.5,2012-09-07,118.8
2012-09-11,120.0,2012-10-08,135.0
2012-10-09,142.5,2012-10-11,128.25
2012-10-17,129.0,2012-10-22,116.10000000000001
2013-03-01,108.300003,2013-03-04,97.47000270000001
2014-03-10,29.1,2014-03-12,26.19
2015-01-09,11.4,2015-01-14,10.26
2015-01-15,7.5,2015-01-20,8.91
2017-01-03,9.3,2017-01-04,8.370000000000001
2017-06-20,10.5,2017-07-06,10.53
2017-07-13,11.7,2017-08-03,11.610000000000001
2017-08-07,11.4,2017-08-10,10.26
2017-10-02,12.0,2017-10-03,10.8
