buy_date,buy_price,sell_date,sell_price
2010-11-01,94.5,2011-01-24,90.0
2011-09-28,100.989998,2011-11-14,99.0
2012-04-04,127.900002,2012-09-26,151.20000000000002
2013-10-23,153.300003,2013-12-16,145.9440036
2014-07-18,133.600006,2014-08-05,125.10000000000001
2014-08-07,127.010002,2014-08-22,120.60000000000001
2014-08-26,129.729996,2014-08-29,117.7650054
2014-09-04,0.354,2014-09-16,130.5
2014-09-19,10.0,2014-09-22,9.0
2014-09-26,141.0,2014-10-02,127.6200027
2014-10-10,0.344,2014-10-15,127.3410045
2014-10-20,140.910004,2014-10-23,130.6079955
2014-10-30,158.100006,2014-11-10,142.2900054
2014-11-26,153.979996,2014-12-01,138.5819964
2014-12-03,158.570007,2014-12-05,153.1349946
2014-12-09,158.149994,2015-01-05,151.20000000000002
2015-01-07,0.335,2015-02-19,182.70000000000002
2015-03-06,239.550003,2015-03-10,216.45000000000002
2015-03-12,237.0,2015-03-16,213.3
2015-03-18,218.970001,2015-03-24,210.6
2015-03-26,10.0,2015-03-31,208.3049973
2015-04-09,9.5,2015-04-22,252.45000000000002
2015-04-24,9.3,2015-06-01,264.6
2015-06-03,280.0,2015-06-09,262.4670045
2015-06-11,286.0,2015-07-07,284.8139919
2015-07-09,313.0,2015-07-24,296.1
2015-07-29,34.310001,2016-01-08,31.1670009
2016-11-16,39.259998,2018-10-12,43.8029982
2019-11-06,47.110001,2019-12-30,47.150002
