buy_date,buy_price,sell_date,sell_price
2011-01-24,2.333333,2011-02-02,2.0999997
2011-03-02,2.333333,2011-03-14,2.0999997
2012-11-19,2.166667,2013-01-16,3.6
2013-01-24,4.666667,2013-02-13,4.6500003
2013-08-26,5.733333,2013-10-18,7.0499997
2014-05-27,9.12,2014-06-13,10.1820006
2014-10-01,13.24,2014-10-08,13.2059997
2014-11-26,13.66,2014-11-28,12.294
2015-10-06,18.02,2015-10-14,17.0759997
2015-11-12,19.313334,2015-12-16,19.4759991
2016-06-08,25.486666,2016-06-20,22.9379994
2018-04-30,19.950001,2018-05-25,17.9550009
2019-11-05,11.95,2019-11-21,11.124
