buy_date,buy_price,sell_date,sell_price
2011-02-18,20.9,2011-03-01,20.7449991
2011-10-21,28.15,2011-10-27,26.2800009
2013-05-08,9.55,2013-05-24,9.765
2013-06-11,12.1,2013-06-12,10.89
2013-06-27,13.3,2013-07-01,11.97
2013-07-25,13.95,2013-08-27,13.68
2013-09-04,13.1,2013-10-24,14.129999999999999
2013-11-06,18.049999,2013-11-07,16.2449991
2014-06-02,19.799999,2014-07-08,18.900000000000002
2016-04-27,7.1,2016-04-28,6.39
2016-05-05,8.0,2016-05-06,7.2
2017-08-22,8.2,2017-08-23,7.38
2018-08-30,5.05,2018-09-13,6.165
2019-04-25,8.01,2019-04-26,7.209
2019-05-28,5.45,2019-05-29,4.905
