buy_date,buy_price,sell_date,sell_price
2012-01-04,11928.0,2012-01-13,12938.4
2013-02-25,5784.0,2013-03-20,5313.6
2015-02-25,1248.0,2015-03-02,1404.0
2015-03-04,2520.0,2015-03-05,2268.0
2015-03-10,1848.0,2015-03-13,1749.6000000000001
2015-03-23,1560.0,2015-04-16,1728.0
2015-05-05,1800.0,2015-05-14,1728.0
2015-05-15,1752.0,2015-06-10,1684.8
2015-06-16,1300.0,2015-06-26,1497.6000000000001
2017-05-01,260.0,2017-05-02,234.0
2017-09-14,116.0,2017-09-21,131.0400054
2017-10-11,144.800003,2017-10-12,130.3200027
2017-11-17,114.0,2017-11-21,102.60000000000001
2017-12-12,220.800003,2017-12-13,198.7200027
2018-03-15,114.0,2018-03-16,102.60000000000001
